,id,country,country_code,country_population,province,county,last_updated,coordinates.latitude,coordinates.longitude,latest.confirmed,latest.deaths,latest.recovered
92,92,US,US,327167434,Texas,"Parker County, Texas",2021-05-06T16:31:00Z,32.77771907,-97.80511717,15679,180,0
93,93,US,US,327167434,Texas,"Wichita County, Texas",2021-05-06T16:31:00Z,33.98410156,-98.70169462,14971,376,0
94,94,US,US,327167434,Texas,"Guadalupe County, Texas",2021-05-06T16:31:00Z,29.58309666,-97.94865645,14696,211,0
95,95,US,US,327167434,Texas,"Rockwall County, Texas",2021-05-06T16:31:00Z,32.89767022,-96.4078414,11481,155,0
96,96,US,US,327167434,Texas,"Grayson County, Texas",2021-05-06T16:31:00Z,33.61833228,-96.67387872,11285,340,0
97,97,US,US,327167434,Texas,"Gregg County, Texas",2021-05-06T16:31:00Z,32.48062462,-94.81699103,11120,353,0
98,98,US,US,327167434,Texas,"Maverick County, Texas",2021-05-06T16:31:00Z,28.74301122,-100.3142594,10436,356,0
99,99,US,US,327167434,Texas,"Comal County, Texas",2021-05-06T16:31:00Z,29.80818438,-98.2781952,10394,317,0
100,100,US,US,327167434,Texas,"Starr County, Texas",2021-05-06T16:31:00Z,26.56239356,-98.7374609,9497,297,0
101,101,US,US,327167434,Texas,"Bastrop County, Texas",2021-05-06T16:31:00Z,30.10364375,-97.31201151,9395,92,0
102,102,US,US,327167434,Texas,"Walker County, Texas",2021-05-06T16:31:00Z,30.73898292,-95.57222968,8844,126,0
103,103,US,US,327167434,Texas,"Victoria County, Texas",2021-05-06T16:31:00Z,28.79640375,-96.97175516,8634,208,0
104,104,US,US,327167434,Texas,"Angelina County, Texas",2021-05-06T16:31:00Z,31.25730151,-94.63261756,8545,279,0
105,105,US,US,327167434,Texas,"Orange County, Texas",2021-05-06T16:31:00Z,30.1280798,-93.89665964,8460,146,0
106,106,US,US,327167434,Texas,"Val Verde County, Texas",2021-05-06T16:31:00Z,26.17619,-98.08112,7855,220,0
107,107,US,US,327167434,Texas,"Liberty County, Texas",2021-05-06T16:31:00Z,30.15168965,-94.81217381,7821,183,0
108,108,US,US,327167434,Texas,"Wise County, Texas",2021-05-06T16:31:00Z,33.21586139,-97.65438192,7311,121,0
109,109,US,US,327167434,Texas,"Coryell County, Texas",2021-05-06T16:31:00Z,31.39084072,-97.79914193,7242,86,0
110,110,US,US,327167434,Texas,"Bowie County, Texas",2021-05-06T16:31:00Z,33.559,-97.8486,6954,214,0
111,111,US,US,327167434,Texas,"Hood County, Texas",2021-05-06T16:31:00Z,32.42998661,-97.83217761,6534,129,0
112,112,US,US,327167434,Texas,"Anderson County, Texas",2021-05-06T16:31:00Z,31.81320101,-95.65250749,6129,121,0
