state,county,NAME,Doctorate degree ,Professional school degree,Masters degree,Bachelors degree,population_size
51,075,"Goochland County, Virginia",437,622,1687,4413,17126
51,113,"Madison County, Virginia",74,162,550,1454,9581
51,161,"Roanoke County, Virginia",1206,1859,5557,15399,67542
51,025,"Brunswick County, Virginia",23,123,519,1005,12305
51,131,"Northampton County, Virginia",112,112,581,1165,8704
51,163,"Rockbridge County, Virginia",173,418,1219,2727,17011
51,720,"Norton city, Virginia",12,20,184,409,2747
51,570,"Colonial Heights city, Virginia",115,131,767,2069,12094
51,021,"Bland County, Virginia",8,57,116,520,4945
51,023,"Botetourt County, Virginia",244,431,2062,4206,24512
51,520,"Bristol city, Virginia",67,206,981,1814,12084
51,830,"Williamsburg city, Virginia",434,463,1306,2019,7439
51,035,"Carroll County, Virginia",137,38,788,2377,22236
06,067,"Sacramento County, California",10965,23313,72897,210144,1028580
06,017,"El Dorado County, California",1930,3571,10480,31014,137028
06,053,"Monterey County, California",3507,5602,18092,40905,275668
06,075,"San Francisco County, California",19535,35058,107424,241699,695330
06,073,"San Diego County, California",47846,64991,225220,533725,2246571
06,107,"Tulare County, California",1319,2518,9274,26586,271351
06,023,"Humboldt County, California",1263,2085,6030,18745,92463
06,003,"Alpine County, California",22,23,58,163,770
06,039,"Madera County, California",371,845,3059,9917,97527
06,087,"Santa Cruz County, California",5393,5464,19835,42819,180000
06,105,"Trinity County, California",30,62,419,1411,9847
06,065,"Riverside County, California",15073,21490,90052,221322,1559869
06,071,"San Bernardino County, California",10066,16940,72885,183593,1350620
06,041,"Marin County, California",5969,12434,29500,65371,190403
06,061,"Placer County, California",2941,8330,24589,71518,270397
06,089,"Shasta County, California",681,2538,6098,18727,126524
06,095,"Solano County, California",2328,4776,18104,56528,303699
06,011,"Colusa County, California",67,119,343,1523,13677
28,029,"Copiah County, Mississippi",99,137,508,2008,18923
28,049,"Hinds County, Mississippi",2101,3618,12676,26160,153522
28,145,"Union County, Mississippi",67,234,769,1476,19053
28,139,"Tippah County, Mississippi",80,117,595,1384,14324
28,035,"Forrest County, Mississippi",772,813,3708,7708,46822
28,071,"Lafayette County, Mississippi",1835,1068,3367,8039,31382
28,087,"Lowndes County, Mississippi",351,546,2497,5821,39309
28,157,"Wilkinson County, Mississippi",8,42,273,530,6230
28,065,"Jefferson Davis County, Mississippi",65,107,429,524,7956
28,123,"Scott County, Mississippi",137,68,623,1274,18452
28,163,"Yazoo County, Mississippi",137,104,531,1877,19733
28,011,"Bolivar County, Mississippi",223,324,1315,3005,20618
28,113,"Pike County, Mississippi",120,248,1228,2632,25448
28,131,"Stone County, Mississippi",92,94,357,1363,12088
28,069,"Kemper County, Mississippi",15,48,315,613,6750
28,133,"Sunflower County, Mississippi",110,79,798,1700,17497
28,001,"Adams County, Mississippi",121,266,1276,2227,22301
28,033,"DeSoto County, Mississippi",803,1533,7566,19351,116845
42,045,"Delaware County, Pennsylvania",8285,11332,44219,85765,383324
42,111,"Somerset County, Pennsylvania",257,441,2217,5880,55461
29,123,"Madison County, Missouri",38,30,412,851,8548
29,217,"Vernon County, Missouri",98,211,719,1557,13697
29,147,"Nodaway County, Missouri",336,172,1047,2007,12472
29,041,"Chariton County, Missouri",19,8,272,608,5264
29,223,"Wayne County, Missouri",75,43,228,570,9530
29,201,"Scott County, Missouri",124,250,1294,2619,26305
29,011,"Barton County, Missouri",18,121,397,1069,8080
29,039,"Cedar County, Missouri",6,72,414,833,9735
29,073,"Gasconade County, Missouri",113,73,649,1218,10665
29,121,"Macon County, Missouri",30,57,423,1202,10490
29,149,"Oregon County, Missouri",80,69,202,744,7513
29,186,"Ste. Genevieve County, Missouri",108,181,813,1396,12663
29,067,"Douglas County, Missouri",3,69,260,706,9602
29,083,"Henry County, Missouri",20,123,682,1644,15544
29,109,"Lawrence County, Missouri",71,331,896,2770,25473
29,169,"Pulaski County, Missouri",211,131,2702,5133,28932
29,215,"Texas County, Missouri",31,72,591,1776,18342
29,027,"Callaway County, Missouri",177,295,1897,4712,30674
29,053,"Cooper County, Missouri",82,97,667,1858,12208
29,075,"Gentry County, Missouri",10,10,194,641,4487
51,191,"Washington County, Virginia",421,604,2588,5482,39884
51,139,"Page County, Virginia",32,82,702,1568,17388
51,510,"Alexandria city, Virginia",4135,8643,27177,35528,119631
51,650,"Hampton city, Virginia",1029,1088,7371,14858,90505
51,013,"Arlington County, Virginia",8367,14386,46900,60599,172979
51,027,"Buchanan County, Virginia",47,60,715,1102,16363
51,179,"Stafford County, Virginia",980,1246,13183,22089,93950
51,760,"Richmond city, Virginia",3126,4928,17377,37147,157879
51,057,"Essex County, Virginia",64,54,251,1001,7883
51,185,"Tazewell County, Virginia",225,273,1179,2873,30468
51,685,"Manassas Park city, Virginia",70,119,808,2096,11099
51,183,"Sussex County, Virginia",34,51,242,742,8395
51,683,"Manassas city, Virginia",125,409,2457,4828,26403
51,775,"Salem city, Virginia",167,175,1472,2961,17108
51,037,"Charlotte County, Virginia",1,26,287,604,8449
51,081,"Greensville County, Virginia",21,56,188,540,8795
53,067,"Thurston County, Washington",2564,4797,19860,42921,196382
53,013,"Columbia County, Washington",20,70,220,468,3042
72,059,"Guayanilla Municipio, Puerto Rico",141,40,513,2499,12935
72,121,"Sabana Grande Municipio, Puerto Rico",125,116,290,2519,15694
72,067,"Hormigueros Municipio, Puerto Rico",0,108,467,2145,11870
72,141,"Utuado Municipio, Puerto Rico",109,41,598,3078,20417
72,054,"Florida Municipio, Puerto Rico",36,0,132,892,8048
